"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2708","18962.00","7.00","68.00","54963.00","20.30","83.00","4319.00","10.71","12.00","0.28","5"
"40320.00","2708","18962.00","7.00","68.00","54963.00","20.30","83.00","4319.00","10.71","12.00","0.28","5"
"40320.00","2698","17767.00","6.59","63.00","53977.00","20.01","73.00","4115.00","10.21","12.00","0.29","5"
"40320.00","2698","17767.00","6.59","63.00","53977.00","20.01","73.00","4115.00","10.21","12.00","0.29","5"
"40320.00","2687","19556.00","7.28","105.00","55408.00","20.62","120.00","4474.00","11.10","12.00","0.27","8"
"40320.00","2693","15949.00","5.92","55.00","51834.00","19.25","70.00","4450.00","11.04","12.00","0.27","4"
"40320.00","2693","15949.00","5.92","55.00","51834.00","19.25","70.00","4450.00","11.04","12.00","0.27","4"
"40320.00","2691","17165.00","6.38","48.00","53164.00","19.76","63.00","4314.00","10.70","12.00","0.28","4"
"40320.00","2691","17165.00","6.38","48.00","53164.00","19.76","63.00","4314.00","10.70","12.00","0.28","4"
"40320.00","2684","18865.00","7.03","65.00","54694.00","20.38","85.00","4494.00","11.15","12.00","0.27","5"
"40320.00","2690","17830.00","6.63","44.00","53816.00","20.01","59.00","4339.00","10.76","12.00","0.28","4"
"40320.00","2690","17830.00","6.63","44.00","53816.00","20.01","59.00","4339.00","10.76","12.00","0.28","4"
"40320.00","2678","20606.00","7.69","73.00","56629.00","21.15","85.00","4312.00","10.69","12.00","0.28","5"
"40320.00","2678","20606.00","7.69","73.00","56629.00","21.15","85.00","4312.00","10.69","12.00","0.28","5"
"40320.00","2685","13851.00","5.16","43.00","49650.00","18.49","60.00","4536.00","11.25","12.00","0.26","4"
"40320.00","2690","17194.00","6.39","48.00","52929.00","19.68","63.00","4603.00","11.42","12.00","0.26","3"
"40320.00","2690","17194.00","6.39","48.00","52929.00","19.68","63.00","4603.00","11.42","12.00","0.26","3"
"40320.00","2676","20944.00","7.83","95.00","57066.00","21.33","110.00","4208.00","10.44","12.00","0.29","6"
"40320.00","2676","20944.00","7.83","95.00","57066.00","21.33","110.00","4208.00","10.44","12.00","0.29","6"
"40320.00","2705","21913.00","8.10","85.00","58010.00","21.45","100.00","4233.00","10.50","12.00","0.28","6"
"40320.00","2693","21484.00","7.98","80.00","57532.00","21.36","90.00","4280.00","10.62","12.00","0.28","6"
"40320.00","2693","21484.00","7.98","80.00","57532.00","21.36","90.00","4280.00","10.62","12.00","0.28","6"
"40320.00","2685","17478.00","6.51","50.00","53275.00","19.84","68.00","4526.00","11.23","12.00","0.27","4"
"40320.00","2685","17478.00","6.51","50.00","53275.00","19.84","68.00","4526.00","11.23","12.00","0.27","4"
"40320.00","2713","22705.00","8.37","68.00","59235.00","21.83","78.00","3805.00","9.44","12.00","0.32","6"
"40320.00","2693","22597.00","8.39","71.00","58918.00","21.88","88.00","3999.00","9.92","12.00","0.30","5"
"40320.00","2702","26763.00","9.90","102.00","62724.00","23.21","117.00","4364.00","10.82","12.00","0.27","8"
"40320.00","2702","26763.00","9.90","102.00","62724.00","23.21","117.00","4364.00","10.82","12.00","0.27","8"
"40320.00","2685","16396.00","6.11","56.00","52136.00","19.42","71.00","4595.00","11.40","12.00","0.26","5"
"40320.00","2675","16002.00","5.98","38.00","51771.00","19.35","53.00","4556.00","11.30","12.00","0.26","4"
"40320.00","2675","16002.00","5.98","38.00","51771.00","19.35","53.00","4556.00","11.30","12.00","0.26","4"
"40320.00","2699","15790.00","5.85","43.00","52121.00","19.31","55.00","4004.00","9.93","12.00","0.30","3"
"40320.00","2699","15790.00","5.85","43.00","52121.00","19.31","55.00","4004.00","9.93","12.00","0.30","3"
"40320.00","2702","22540.00","8.34","68.00","58845.00","21.78","84.00","4025.00","9.98","12.00","0.30","5"
"40320.00","2680","19938.00","7.44","63.00","55815.00","20.83","78.00","4443.00","11.02","12.00","0.27","5"
"40320.00","2680","19938.00","7.44","63.00","55815.00","20.83","78.00","4443.00","11.02","12.00","0.27","5"
"40320.00","2694","15499.00","5.75","41.00","51134.00","18.98","56.00","4695.00","11.64","12.00","0.26","4"
"40320.00","2694","15499.00","5.75","41.00","51134.00","18.98","56.00","4695.00","11.64","12.00","0.26","4"
"40320.00","2664","17810.00","6.69","55.00","53720.00","20.17","65.00","4410.00","10.94","12.00","0.27","4"
"40320.00","2675","17002.00","6.36","66.00","52536.00","19.64","79.00","4791.00","11.88","12.00","0.25","6"
"40320.00","2675","17002.00","6.36","66.00","52536.00","19.64","79.00","4791.00","11.88","12.00","0.25","6"
"40320.00","2666","14024.00","5.26","40.00","49385.00","18.52","60.00","4959.00","12.30","12.00","0.24","4"
"40320.00","2666","14024.00","5.26","40.00","49385.00","18.52","60.00","4959.00","12.30","12.00","0.24","4"
"40320.00","2700","21538.00","7.98","58.00","57563.00","21.32","73.00","4298.00","10.66","12.00","0.28","5"
"40320.00","2702","19009.00","7.04","45.00","55282.00","20.46","60.00","4057.00","10.06","12.00","0.30","4"
