"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2684","18851.00","7.02","51.00","54911.00","20.46","70.00","4255.00","10.55","12.00","0.28","4"
"40320.00","2658","17716.00","6.67","56.00","53634.00","20.18","73.00","4422.00","10.97","12.00","0.27","5"
"40320.00","2687","24894.00","9.26","80.00","60804.00","22.63","95.00","4403.00","10.92","12.00","0.27","6"
"40320.00","2687","24894.00","9.26","80.00","60804.00","22.63","95.00","4403.00","10.92","12.00","0.27","6"
"40320.00","2681","19058.00","7.11","46.00","54929.00","20.49","61.00","4454.00","11.05","12.00","0.27","4"
"40320.00","2681","19058.00","7.11","46.00","54929.00","20.49","61.00","4454.00","11.05","12.00","0.27","4"
"40320.00","2665","15082.00","5.66","50.00","50510.00","18.95","65.00","4895.00","12.14","12.00","0.25","3"
"40320.00","2687","17841.00","6.64","64.00","53714.00","19.99","84.00","4447.00","11.03","12.00","0.27","5"
"40320.00","2687","17841.00","6.64","64.00","53714.00","19.99","84.00","4447.00","11.03","12.00","0.27","5"
"40320.00","2672","17432.00","6.52","50.00","53149.00","19.89","65.00","4613.00","11.44","12.00","0.26","4"
"40320.00","2702","19127.00","7.08","56.00","55109.00","20.40","71.00","4348.00","10.78","12.00","0.28","5"
"40320.00","2702","19127.00","7.08","56.00","55109.00","20.40","71.00","4348.00","10.78","12.00","0.28","5"
"40320.00","2684","18033.00","6.72","73.00","53776.00","20.04","84.00","4587.00","11.38","12.00","0.26","5"
"40320.00","2701","19061.00","7.06","64.00","55238.00","20.45","78.00","4151.00","10.30","12.00","0.29","6"
"40320.00","2701","19061.00","7.06","64.00","55238.00","20.45","78.00","4151.00","10.30","12.00","0.29","6"
"40320.00","2666","15624.00","5.86","55.00","51286.00","19.24","70.00","4663.00","11.56","12.00","0.26","4"
"40320.00","2699","18669.00","6.92","53.00","54704.00","20.27","68.00","4290.00","10.64","12.00","0.28","4"
"40320.00","2699","18669.00","6.92","53.00","54704.00","20.27","68.00","4290.00","10.64","12.00","0.28","4"
"40320.00","2698","23143.00","8.58","61.00","59508.00","22.06","71.00","3958.00","9.82","12.00","0.30","5"
"40320.00","2698","23143.00","8.58","61.00","59508.00","22.06","71.00","3958.00","9.82","12.00","0.30","5"
